<pre>DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
39:34.8,35.99083,-120.55334,1.417,1.63,Md,4,204,9,0.02,NCSN,1003873
18:01.0,36.338,-120.91566,4.428,2.32,Md,4,155,10,0.02,NCSN,1003932
55:08.0,36.39683,-120.98383,4.729,2.44,Md,7,106,4,0.01,NCSN,1003950
00:45.4,35.75117,-120.40933,2.45,3.1,ML,6,137,10,0.01,NCSN,1003964
38:58.2,35.78217,-120.31883,9.996,1.25,Md,4,312,6,0.02,NCSN,1003969
56:15.5,35.99166,-120.54684,4.133,1.84,Md,6,180,8,0.06,NCSN,1003971
44:57.4,36.08967,-120.6575,7.816,3.46,Md,19,139,6,0.18,NCSN,1004006
52:57.3,36.09184,-120.655,9.423,3.51,Md,12,143,6,0.05,NCSN,1004007
30:58.2,36.079,-120.66634,7.533,3.17,Md,12,129,7,0.04,NCSN,1004008
10:51.5,36.078,-120.67516,5.603,2.36,Md,9,121,7,0.02,NCSN,1004009
01:45.9,35.94617,-120.48367,5.874,2.31,Md,6,146,1,0.02,NCSN,1004013
02:40.2,35.945,-120.481,6.023,1.11,Md,5,159,1,0.01,NCSN,1004015
42:02.8,36.00667,-120.5665,1.604,2.34,Md,6,179,11,0.06,NCSN,1004019
22:48.5,35.769,-120.348,1.486,1.12,Md,4,293,7,0.05,NCSN,1004031
13:47.1,36.24283,-120.80117,6.884,2.5,Md,4,249,15,0.01,NCSN,1004044
09:43.9,35.80367,-120.48067,2.886,0.25,Md,4,218,3,0,NCSN,1004062
14:14.2,35.79833,-120.49033,4.296,0.26,Md,4,240,3,0,NCSN,1004063
27:47.1,35.80783,-120.36584,1.066,1.26,Md,4,251,3,0.04,NCSN,1004064
01:21.7,35.806,-120.46917,2.996,0.25,Md,4,209,4,0.08,NCSN,1004065
12:04.8,35.79817,-120.4685,2.496,0.52,Md,4,225,4,0.01,NCSN,1004066
16:07.5,35.796,-120.47234,4.496,0.25,Md,4,230,4,0,NCSN,1004067
19:38.8,35.79733,-120.4635,4.746,0.52,Md,4,225,5,0,NCSN,1004068
38:33.6,35.803,-120.46083,3.616,0.52,Md,4,214,5,0,NCSN,1004069
52:07.5,35.80117,-120.45883,4.316,0.52,Md,4,218,5,0.01,NCSN,1004070
25:13.9,35.81167,-120.44933,2.916,1.89,Md,4,198,6,0,NCSN,1004071
42:38.9,35.831,-120.4875,4.106,0.25,Md,4,141,3,0,NCSN,1004077
57:58.8,35.83383,-120.4845,2.776,0.25,Md,4,139,3,0,NCSN,1004078
23:43.4,35.831,-120.479,0.026,0.77,Md,4,149,4,0,NCSN,1004079
37:01.3,35.83183,-120.48683,0.616,0.92,Md,4,140,3,0.01,NCSN,1004080
30:24.7,35.8625,-120.40733,3.886,2.11,Md,4,139,2,0,NCSN,1004084
09:05.1,35.95917,-120.33083,5.516,1.38,Md,4,285,11,0.02,NCSN,1004087
03:47.6,35.99817,-120.27483,8.506,2.58,Md,4,309,18,0,NCSN,1004090
23:57.5,36.34333,-120.81284,4.716,3.36,Md,7,154,3,0.07,NCSN,1004110
41:59.0,35.99217,-120.57684,1.959,1.38,Md,5,198,11,0.13,NCSN,1004114
32:38.9,35.99117,-120.5575,4.503,1.68,Md,5,153,9,0.01,NCSN,1004118
46:17.0,36.03883,-120.5755,6.973,1.72,Md,5,173,14,0.03,NCSN,1004155
43:31.6,35.85583,-120.397,5.056,0.73,Md,4,152,3,0,NCSN,1004158
51:58.4,36.253,-120.675,7.951,3.12,Md,11,192,12,0.08,NCSN,1004190
52:15.7,35.99683,-120.59233,1.393,1.7,Md,5,197,12,0.09,NCSN,1004192
19:19.6,36.26817,-120.86433,4.677,2.55,Md,7,109,12,0.19,NCSN,1004193
06:18.3,36.00483,-120.59783,-0.426,2.23,Md,6,172,13,0.13,NCSN,1004267
26:52.7,36.00867,-120.586,2.429,2.92,Md,9,151,12,0.1,NCSN,1004290
46:48.7,36.0035,-120.58383,6.563,2.96,Md,6,147,12,0.04,NCSN,1004291
44:14.5,36.02133,-120.547,2.024,1.86,Md,5,222,11,0.18,NCSN,1004295
44:47.2,36.00733,-120.57083,7.106,2.83,Md,9,156,11,0.07,NCSN,1004299
58:26.8,36.2145,-120.81384,1.089,3.14,Md,6,122,16,0.04,NCSN,1004312
47:45.7,35.89433,-120.23383,18.56,3.57,Md,4,313,13,0.01,NCSN,1004314
22:59.5,36.031,-120.60683,6.556,2.37,Md,7,151,13,0.07,NCSN,1004348
34:49.4,36.16767,-120.78117,1.841,3.06,Md,4,165,11,0.01,NCSN,1004358
17:36.2,36.004,-120.89117,13.26,2.15,Md,9,179,25,0.05,NCSN,1004377
48:00.6,36.34167,-120.91734,0.618,3.13,Md,7,110,9,0.01,NCSN,1004396
29:27.3,35.79984,-120.35167,8.883,3,ML,6,280,3,0.09,NCSN,1004426
48:22.2,36.2725,-120.84783,4.908,3.44,Md,10,124,11,0.06,NCSN,1004433
45:29.2,36.03367,-120.97117,13.73,3.44,Md,10,177,19,0.08,NCSN,1004452
34:29.0,36.27217,-120.8505,4.568,2.57,Md,5,133,12,0.05,NCSN,1004458
18:06.5,36.064,-120.6445,2.691,2.87,Md,7,142,9,0.09,NCSN,1004470
28:02.8,35.75933,-120.6645,4.927,2.31,Md,7,171,26,0.24,NCSN,1004485
00:31.5,36.00317,-120.58383,2.708,1.64,Md,4,169,12,0.01,NCSN,1004500
49:51.8,36.0865,-120.6625,3.618,2.3,Md,8,134,6,0.1,NCSN,1004518
00:51.5,36.01067,-120.586,5.418,2.04,Md,5,173,12,0.06,NCSN,1004519
51:31.5,36.00233,-120.59617,1.977,1.41,Md,4,163,13,0.06,NCSN,1004525
19:55.4,35.97217,-120.39317,4.271,3.4,ML,8,171,8,11.1,NCSN,1004527
09:58.1,35.99583,-120.5885,0.938,1.32,Md,5,162,12,0.1,NCSN,1004536
30:03.7,35.8215,-120.3985,6.617,0.75,Md,4,277,7,0.04,NCSN,1004570
33:18.0,36.31717,-120.88817,8.008,2.55,Md,6,102,9,0.06,NCSN,1004578
37:39.5,36.33233,-120.9025,4.448,2.37,Md,4,164,9,0.04,NCSN,1004580
07:25.0,35.9405,-120.47916,5.933,1.11,Md,4,113,1,0,NCSN,1004584
07:35.9,36.01217,-120.6015,2.808,1.61,Md,5,167,14,0.1,NCSN,1004607
45:25.0,36.3015,-120.85917,7.788,2.48,Md,7,125,9,0.03,NCSN,1004609
06:02.9,36.23367,-120.803,7.868,2.56,Md,5,155,16,0.02,NCSN,1004612
47:16.6,36.04283,-120.62,4.608,4.15,Md,9,149,12,0.07,NCSN,1004636
24:19.6,36.041,-120.50333,5.788,3.84,Md,9,202,11,0.04,NCSN,1004642
38:54.8,36.016,-120.56567,7.818,2.05,Md,6,187,11,0.03,NCSN,1004645
29:21.1,36.04533,-120.6475,2.224,1.92,Md,5,169,10,0.01,NCSN,1004665
13:56.4,36.1855,-120.769,5.2,2.07,Md,7,129,9,0.06,NCSN,1004669
33:34.0,36.0005,-120.564,5.418,1.86,Md,5,176,10,0.01,NCSN,1004672
12:32.4,35.991,-120.58633,1.178,1.45,Md,5,159,11,0.13,NCSN,1004674
07:19.7,35.94584,-120.531,6.635,2.83,Md,9,118,5,0.21,NCSN,1004722
42:19.5,36.0065,-120.87683,12.045,3.4,ML,18,167,18,0.1,NCSN,1004764
39:33.4,35.93483,-120.475,11.385,1.48,Md,6,133,1,0.01,NCSN,1004777
34:15.6,36.1905,-120.75066,10.033,3.03,Md,8,141,9,0.02,NCSN,1004901
59:51.8,36.25117,-120.83,7.268,2.79,Md,7,144,14,0.07,NCSN,1004906
08:25.0,36.19667,-120.87634,13.168,2.58,Md,8,111,17,0.07,NCSN,1004917
02:24.4,35.99617,-120.88617,17.378,1.92,Md,6,171,19,0.03,NCSN,1005042
06:57.1,36.00433,-120.87483,13.021,3.29,Md,10,167,18,0.06,NCSN,1005049
39:48.3,36.22667,-120.78883,6.02,3.19,Md,8,146,14,0.05,NCSN,1005082
11:44.1,36.0055,-120.55833,5.678,1.97,Md,5,183,10,0.01,NCSN,1005110
51:37.7,35.99517,-120.9515,10.317,1.98,Md,6,181,22,0.05,NCSN,1005121
42:38.1,36.04567,-120.60567,8.638,1.32,Md,5,159,12,0,NCSN,1005138
23:21.3,36.1305,-120.65867,14.718,2.28,Md,5,164,1,0.04,NCSN,1005139
59:54.6,35.8635,-120.41333,3.446,1.89,Md,4,123,2,0.01,NCSN,1005142
13:55.3,36.00783,-120.59866,3.325,1.47,Md,6,166,13,0.02,NCSN,1005157
24:52.0,36.04984,-120.61017,10.468,2.33,Md,7,158,11,0.06,NCSN,1005159
42:52.9,36.0415,-120.59866,5.735,1.42,Md,5,189,14,0,NCSN,1005198
28:22.4,36.3985,-120.96233,-0.433,2.57,Md,6,160,6,0.01,NCSN,1005203
16:03.5,36.14517,-120.73033,3.547,2.47,Md,7,110,4,0.04,NCSN,1005208
50:19.9,36.06017,-120.997,12.668,2.14,Md,7,159,16,0.05,NCSN,1005212
18:29.0,36.00967,-120.873,12.881,1.64,Md,7,165,17,0.04,NCSN,1005221
51:23.5,35.99383,-120.55983,4.665,2.22,Md,6,173,9,0.03,NCSN,1005251
01:23.1,36.28583,-120.6615,11.963,3,Md,8,220,16,0.04,NCSN,1005263
08:17.1,36.36167,-120.932,5.407,2.92,Md,8,125,10,0.05,NCSN,1005266
53:07.2,36.02617,-120.611,2.365,1.41,Md,5,172,14,0,NCSN,1005267
32:46.3,35.996,-120.53333,11.265,2.03,Md,6,189,8,0.04,NCSN,1005280
17:56.8,36.0265,-120.56384,8.305,2.01,Md,4,194,12,0.05,NCSN,1005283
31:27.8,36.372,-120.5745,4.615,2.93,Md,5,235,22,0.39,NCSN,1005312
03:50.1,35.98917,-120.556,3.437,1.57,Md,4,171,9,0,NCSN,1005328
09:56.3,35.8985,-120.43584,5.717,2.15,Md,4,165,3,0,NCSN,1005331
01:04.8,36.016,-120.621,5.233,2.52,Md,6,180,14,0.03,NCSN,1005365
